id_seller,name,lastname,email,age,id_country
1,Leesa,Lindenblatt,LeesaLindenblatt@gmail.com,39,5
2,Damian,Quenby,DamianQuenby@gmail.com,29,7
3,Pablo,Le Fleming,PabloLe Fleming@gmail.com,50,14
4,Urbanus,Sayles,UrbanusSayles@gmail.com,24,4
5,Eddie,Matyatin,EddieMatyatin@gmail.com,34,9
6,Yalonda,Densell,YalondaDensell@gmail.com,48,12
7,Bartlet,Hatherell,BartletHatherell@gmail.com,26,1
8,Alica,Salvadori,AlicaSalvadori@gmail.com,46,7
9,Zabrina,Calrow,ZabrinaCalrow@gmail.com,43,11
10,Aigneis,Rosenau,AigneisRosenau@gmail.com,21,3
11,Violetta,Slyman,ViolettaSlyman@gmail.com,20,14
12,Dagmar,Bowser,DagmarBowser@gmail.com,24,4
13,Tess,Perham,TessPerham@gmail.com,24,9
14,Iormina,Bows,IorminaBows@gmail.com,23,7
15,Arabela,Girke,ArabelaGirke@gmail.com,30,7
16,Taffy,Clayborn,TaffyClayborn@gmail.com,41,6
17,Morey,Brydie,MoreyBrydie@gmail.com,29,13
18,Madlen,Menis,MadlenMenis@gmail.com,23,11
19,Fidole,Devita,FidoleDevita@gmail.com,30,12
20,Daile,Savary,DaileSavary@gmail.com,18,3
21,Dianemarie,Stilgo,DianemarieStilgo@gmail.com,18,14
22,Pen,Moakson,PenMoakson@gmail.com,18,14
23,Donn,Symcoxe,DonnSymcoxe@gmail.com,18,1
24,Tamas,Robke,TamasRobke@gmail.com,20,14
25,Thedrick,Satterley,ThedrickSatterley@gmail.com,19,10
